t	Ro	sumaRo
0.001	8.630415506498438E10	2.679505286537977E12
0.002	1.7179976780456836E11	3.8568326557134663E12
0.003	2.5649441306582617E11	4.720295499604436E12
0.004	3.403955947297285E11	5.474231780329733E12
0.005	4.2351074637697266E11	6.096462594820563E12
0.006	5.0584723194659863E11	6.647689981655108E12
0.007	5.874123463884238E11	7.143921371932997E12
0.008	6.68213316309375E11	7.595622090803621E12
0.009000000000000001	7.482573006137539E11	8.01016722821709E12
0.010000000000000002	8.275513911375166E11	8.393005253996241E12
0.011000000000000003	9.061026132766016E11	8.748309876705606E12
0.012000000000000004	9.83917926609375E11	9.079371481667078E12
0.013000000000000005	1.0610042255132422E12	9.388845320513613E12
0.014000000000000005	1.1373683397754893E12	9.67891592222378E12
0.015000000000000006	1.2130170351983926E12	9.951410004760867E12
0.016000000000000007	1.287957014198664E12	1.0207876404867295E13
0.017000000000000008	1.3621949164012812E12	1.0449644137137533E13
0.01800000000000001	1.4357373192277568E12	1.0677865514642844E13
0.01900000000000001	1.5085907384788828E12	1.089354880260458E13
0.02000000000000001	1.580761628912038E12	1.1097583368879574E13
0.02100000000000001	1.6522563848130625E12	1.129075935257467E13
0.022000000000000013	1.7230813405627998E12	1.1473783253177207E13
0.023000000000000013	1.7932427711983037E12	1.1647290436955133E13
